WAVE,Nylon_raw,PET_raw,Styro_raw
235,-0.14197084291627163,-0.6215848859902104,-1.209799085501816
236,-0.16020987152176933,-0.5895880402282455,-1.4229271793701534
237,-0.19439845876719566,-0.5697265904958019,-1.6073785948909562
238,-0.23773326428991987,-0.560660096027962,-1.7494819942442312
239,-0.27941886430856067,-0.5579996439737387,-1.860400983408276
240,-0.30569914854793057,-0.556232069014882,-1.9552422941209797
241,-0.302180294219526,-0.5502947796196238,-2.044813992628676
242,-0.26897771904004475,-0.5415683481011064,-2.142037737472088
243,-0.21610149530923742,-0.5301938567382889,-2.24148986838128
244,-0.15780236372592024,-0.515482399720618,-2.331920296873675
245,-0.10539329625726682,-0.49643946001642236,-2.4120630431238315
246,-0.0648104573035134,-0.4727879058628527,-2.4801558906668197
247,-0.037852714377563344,-0.4481897484520867,-2.5376248647333495
248,-0.023007481692486568,-0.43104507868686015,-2.5895214206697177
249,-0.020718617422266456,-0.43645597514631596,-2.6454849210401217
250,-0.03407643982898908,-0.456952911484981,-2.7026512789798773
251,-0.06087663484359473,-0.48228851930322114,-2.7562757673662337
252,-0.09218246002326425,-0.497176959467323,-2.7980729101772703
253,-0.12632438666632245,-0.4792685315751752,-2.816934043346498
254,-0.15280540554465408,-0.43251392685924783,-2.81804676404206
255,-0.16658561103601258,-0.36271374231918324,-2.806388225546074
256,-0.17502380231403322,-0.280500193940108,-2.7863522185805927
257,-0.16913275639367845,-0.2015201657588996,-2.7818559101564007
258,-0.15748767449092405,-0.12576706252692732,-2.7823226078977745
259,-0.14719287148909282,-0.054165427423769834,-2.778675960734989
260,-0.13957960796111696,0.010291167617125688,-2.76354104776972
261,-0.14885959376132857,0.0658851458136893,-2.7208515007291463
262,-0.16991304992539397,0.10676229248247063,-2.6572009010339133
263,-0.19667035729371082,0.129307076743379,-2.5801768881654685
264,-0.22638472909693558,0.15209666185268675,-2.4846663136105485
265,-0.2505170193210534,0.17916323936199913,-2.3726579976087447
266,-0.26997626462369334,0.22050629924812307,-2.245889274033324
267,-0.2871120215627652,0.2863020167874476,-2.1066822572180715
268,-0.2962711389683787,0.36083671341557905,-1.972923172865528
269,-0.29814849437005386,0.4485678777150793,-1.8610461460394134
270,-0.2888141443697201,0.5405259424190958,-1.7790468082927535
271,-0.26289514903958594,0.6236397978726566,-1.7336532750133762
272,-0.2330405052471982,0.701567889861715,-1.6960374579129052
273,-0.2029530481380971,0.7678997773481031,-1.6488405163774558
274,-0.17907507361629138,0.8213251194389649,-1.583519666071441
275,-0.1696426576746212,0.8631234645794961,-1.4941716728426375
276,-0.16296119126697511,0.8916791652999786,-1.395947848288912
277,-0.15705856279600597,0.9069081770760682,-1.3040206316902532
278,-0.14833669288991982,0.9094742857449312,-1.2190612824331284
279,-0.13152056008862992,0.9004893738693297,-1.1345188599827094
280,-0.11122766179012294,0.8872230006975791,-1.0455563294084258
281,-0.08589796044737212,0.8715203177639264,-0.9410729931039606
282,-0.05751780657199107,0.8605326022027288,-0.8216709228365936
283,-0.031547955211942105,0.8659704993908334,-0.6971663724984081
284,-0.008140811235199347,0.884284797928542,-0.5658328166584602
285,0.004258917358334415,0.9155018087872031,-0.4288268583530046
286,0.005543300401136612,0.9592055920090206,-0.2872216560643644
287,0.00494292022963963,1.0124465907869808,-0.14040106168358035
288,0.00821564650186391,1.076771606722115,0.0008584974255319907
289,0.027207025629901124,1.1530680033540874,0.12191338068342283
290,0.0660130805841749,1.2395717692506314,0.21551401502931722
291,0.11759089162262541,1.3325052778303788,0.28192562908826674
292,0.17823026276784362,1.428074995460159,0.3388148854925798
293,0.24493214355686843,1.5212505387649677,0.4106035103683918
