WAVE,INTENSITY
590,158.59099418137282
591,183.38594426536008
592,211.4817548128125
593,174.23979385704678
594,213.08004684706378
595,206.11595297017826
596,215.11101677323074
597,294.82114955517454
598,282.61774409851733
599,372.6868423699654
600,379.4277649860979
601,421.4723746410562
602,447.7834548780159
603,498.16823277886687
604,507.51577855723144
605,549.5255877465239
606,551.3432491617806
607,590.4693442416299
608,647.6722170079432
609,669.71129315748
610,670.7228454646133
611,761.7999573135897
612,795.5558181197546
613,781.9321846722854
614,823.070099951476
615,850.9906527514887
616,867.648948135523
617,908.1937234918798
618,883.6742334273388
619,923.8438853913394
620,913.4390855862996
621,914.8793901824101
622,867.1488661431463
623,879.2828838663697
624,906.0017174043368
625,844.3563668005365
626,829.0656017564097
627,786.545813089573
628,750.1024577010269
629,746.9463515357594
630,684.0843045734168
631,710.1450498600735
632,674.5274821368007
633,630.9520520342667
634,595.1155638750447
635,575.2626880499943
636,481.808280281539
637,491.1769616727035
638,388.27021464491804
639,359.6107746242532
640,417.4736397627844
641,307.43961451111636
642,333.2745476376221
643,238.31135607572628
644,255.87686411259895
645,240.56054899409256
646,183.98210079082878
647,165.97264362050151
648,164.10862354012235
649,149.47489265698385
650,97.90039044873531
651,70.02422891864765
652,122.96570475949827
653,77.02553268667067
654,93.482306777972
655,44.83566783523716
656,6.315747746780687
657,47.12994829807586
658,18.7987410878406
659,46.43982364335946
660,32.35445296486545
661,28.257182793133545
662,36.740258114823376
663,45.97541420235228
664,15.812299223694708
665,-11.295861928043905
666,-24.498221185138696
667,-5.92499707079728
668,-14.827679964335186
669,24.34686955467838
670,-14.262635683839283
671,14.460016364265154
672,-48.724798070547635
673,37.86990047975825
674,-8.383222565582567
675,-15.883314885941068
676,-41.15049418627142
677,5.824727664259941
678,11.829338573032345
679,-29.670966757629408
680,-7.916743623982153
681,23.316771367432757
682,-20.850566072543465
683,-30.065349521289264
684,-13.91924359125206
685,18.913514807912378
686,-32.55189511215576
687,-44.15456820736251
688,-33.196230966415065
689,48.68011253024289
690,37.63991654856341
691,34.711627148722435
692,20.30633476996248
693,61.6440953482564
694,18.903086082800197
695,23.293648664275867
696,-16.699733616375884
697,-23.078282693843295
698,-5.070052629750897
699,-0.44379227223476736
700,-11.890746188937767
701,17.005378077604828
702,1.0214374839989488
703,-30.081993760052093
704,2.9451924285123336
705,17.355610916398323
706,5.015226060439838
707,-37.12717558144846
708,11.314988786274707
709,-10.539904282293868
710,-22.444609175284487
711,21.14533323352636
712,38.51183113885916
713,24.004416354881347
714,23.465108036707953
715,-8.172507346175285
716,-16.207232295143044
717,-21.148781651708255
718,16.70669411268935
719,3.289592712928266
720,38.90862656585407
721,27.62114741075077
722,20.242538852215695
723,11.33171725149753
724,1.6901930469027697
725,20.672481386726954
726,-5.986866162476122
727,7.026587443759247
728,-56.59693039641425
729,11.509583304814857
730,43.923469728288865
731,-20.883816040365524
732,18.62340498424841
733,37.68750803877044
734,-42.05754325069641
735,11.820139835096118
736,10.217668585956188
737,26.913106915209053
738,1.4754973523960944
739,-1.3799010420198945
740,-28.889235422588744
741,30.24704856334293
742,-31.29490888635848
743,-1.6347708074201268
744,-18.539911283553813
745,9.943874131932482
746,47.98155966930434
747,-20.38697936624805
748,25.317659765619382
749,14.746634210877525
750,8.523574739523273
751,-30.0305641679363
752,-57.0613926872056
753,47.57042489745565
754,-46.56629567515576
755,16.943573826537808
756,7.883781853683498
757,-22.685268031657433
758,8.354701481508066
759,-6.497748924423014
760,-28.19555996793636
761,-58.502242929361515
762,-0.4625634404958685
763,-10.882707935271194
764,-2.3749322643073443
765,-9.689536985854952
766,-11.280866441907786
767,32.87099149397047
768,46.9592337878853
769,8.35520488000048
770,28.693577268708566
771,-11.511511306830531
772,-29.48373458973041
773,-16.982497520562347
774,42.681598337617054
775,9.43282781909526
776,4.1987576970251395
777,45.12857069851174
778,-30.86460439468517
779,8.247937498589927
780,-29.542161898684682
781,33.236412408735255
782,0.725775191291671
783,-9.53960988607902
784,0.46415941312328
785,24.951262580815058
786,-28.325948186624608
787,44.246976601118966
788,7.7249470689442195
789,37.80430039470317
790,39.20863558064036
791,15.828075365315982
792,-30.843744774813683
793,7.675416422350755
794,-15.410548256593925
795,1.998974821417562
796,4.971834273732698
797,9.525072804865207
798,6.94250825441509
799,-4.205723600122736
800,-27.74656204494171
801,13.918333426284335
802,41.97481737135809
803,-49.82255190817722
804,-11.61827079695016
805,47.3651235139675
806,-2.1716924466337875
807,-6.55497370257322
808,14.081454189124296
809,19.28758832785641
810,-26.568546305468512
811,-29.230560854734968
812,41.5232383835314
813,4.716307817632499
814,5.995236184583488
815,4.394344910839129
816,3.733729806827333
817,-28.341209617724413
818,6.573299247650682
819,16.32708031950983
820,29.56231244553589
821,-2.1186038348020855
822,-16.13653291009371
823,5.599329318673355
